layer,component,mean_ot_recovery,median_ot_recovery,mean_ot_displacement,mean_marg_recovery,mean_w1_v_recovery,valid_pairs,model_name
21,attn,1.6459824969186034,0.0,0.19689860684342517,1.7105144813574356,0.3263948949699068,13,Qwen/Qwen2.5-1.5B-Instruct
21,resid,-3.0961994689303105,0.0,0.2080060091929244,-3.427260859907138,0.5034877998281132,13,Qwen/Qwen2.5-1.5B-Instruct
22,mlp,1.5268655858068811,0.0,0.19906228821050045,1.3828596325115323,-1.2523577248417743,13,Qwen/Qwen2.5-1.5B-Instruct
22,attn,2.8211461229279515,0.0,0.19513767254133776,2.959444610583913,-0.3664038207322549,13,Qwen/Qwen2.5-1.5B-Instruct
22,resid,-0.13911447381320152,0.0,0.19718931735971912,-0.47957430718674154,4.7612597547471225,13,Qwen/Qwen2.5-1.5B-Instruct
23,mlp,3.1002806878937177,0.0,0.19454598949121524,3.28873773072872,1.58980458769972,13,Qwen/Qwen2.5-1.5B-Instruct
23,attn,-0.3805405956522063,0.0,0.198916302446668,-0.49052678516821646,-1.5881959481746823,13,Qwen/Qwen2.5-1.5B-Instruct
23,resid,-0.13966404249529707,0.0,0.19526547414900647,-0.44336437781000376,4.695821498509257,13,Qwen/Qwen2.5-1.5B-Instruct
24,mlp,5.016760839752716,0.0,0.19137762825507204,5.013157995683345,4.477670961356905,13,Qwen/Qwen2.5-1.5B-Instruct
24,attn,-1.3195847947181836,0.0,0.19864890699370552,-1.4713917272076245,-1.7222063076915106,13,Qwen/Qwen2.5-1.5B-Instruct
24,resid,-0.8844855660312397,0.0,0.19620197408080856,-1.1835795505392128,5.2892469298399,13,Qwen/Qwen2.5-1.5B-Instruct
25,mlp,1.7848645600944784,0.0,0.19724535548462324,1.718482096234853,1.762555676939662,13,Qwen/Qwen2.5-1.5B-Instruct
25,attn,0.4847641503742848,0.0,0.1979499612294753,0.5166895670797662,0.9095161404369924,13,Qwen/Qwen2.5-1.5B-Instruct
25,resid,0.04675360407196362,0.0,0.19399593906132262,-0.24396143647697618,5.628288253659186,13,Qwen/Qwen2.5-1.5B-Instruct
26,mlp,-0.9035127618158892,0.0,0.1985596286560791,-1.1959472669681825,0.5358377972931957,13,Qwen/Qwen2.5-1.5B-Instruct
26,attn,0.19951726942724154,0.0,0.19793652676903326,0.20689407371712576,-0.8098021105071024,13,Qwen/Qwen2.5-1.5B-Instruct
26,resid,-0.5698970433898425,0.0,0.19582713404227628,-0.8817499660215184,4.785295580080069,13,Qwen/Qwen2.5-1.5B-Instruct
27,mlp,-6.908912115234833,0.0,0.20854354150162344,-7.185816325135372,-6.660271164979151,13,Qwen/Qwen2.5-1.5B-Instruct
27,attn,-1.6302857393175694,0.0,0.19999337008992843,-1.6123048189147209,0.2678270996203819,13,Qwen/Qwen2.5-1.5B-Instruct
27,resid,-0.774146425688361,0.0,0.19907981359263935,-0.7500280311217163,-4.236413916308223,13,Qwen/Qwen2.5-1.5B-Instruct
