layer,component,is_confirmatory,mean_probe_necessity,mean_neutralization_ratio,mean_neutral_mean_control,mean_matched_substitution,z_score_iso,p_value_iso,null_mu_iso,null_sig_iso,z_score_perp,p_value_perp,null_mu_perp,null_sig_perp,model_name,fdr_q_iso,fdr_sig_iso,fdr_q_perp,fdr_sig_perp
20,resid,False,0.005492956134296038,-0.42045681781340644,0.00515042930495294,0.005381340919978725,-0.09654223494831266,0.47619047619047616,0.005532203565553701,0.00040653120656131326,0.08252063388763362,0.5714285714285714,0.005464481316693671,0.0003450630013475287,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
21,mlp,True,0.004891206422315941,-2.1018386883806666,0.005234216883457432,0.005451314775148788,-1.2857067409836886,0.9523809523809523,0.00533855309672727,0.000347938344065199,-1.2122619617612354,0.9047619047619048,0.005343696688432033,0.0003732611270411314,Qwen/Qwen2.5-1.5B-Instruct,0.9876543209876543,False,0.987012987012987,False
21,attn,True,0.005160828291717655,-0.27671120121012527,0.005368138883227827,0.005372825785172256,-0.19832861867160226,0.5238095238095238,0.005247188059818735,0.0004354377531569274,-0.5664352784117034,0.7619047619047619,0.005318893860551062,0.0002790531855230232,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.9411764705882353,False
21,resid,True,0.005779475237056266,-0.858943826933665,0.00582291113414947,0.005228555434098321,1.2670291807803287,0.19047619047619047,0.005227629918841813,0.00043554270618659864,0.9659887718226541,0.23809523809523808,0.005411121296385049,0.00038132321142428697,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
22,mlp,False,0.005384728306580018,-2.014994089753099,0.004542782854576801,0.004732448747569873,1.237973992790509,0.14285714285714285,0.004960449462288944,0.00034272032107452485,1.4885403643427706,0.09523809523809523,0.00494123052891029,0.00029794138492545623,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
22,attn,False,0.005107506590679866,-1.306598038022174,0.004686410531752352,0.005478301714135385,0.31400524497218457,0.3333333333333333,0.005024507576167048,0.00026432365650506793,0.3635742953827619,0.38095238095238093,0.004967210983397211,0.0003858787847885543,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
22,resid,False,0.00507117783336057,-1.2369091378096406,0.005394828480372858,0.005279236330028432,0.11514598024859526,0.5238095238095238,0.005028162477744496,0.00037357236026134833,-0.025239041412561593,0.42857142857142855,0.005080371691770663,0.00036427129936545587,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
23,mlp,False,0.004853579178846472,-0.642690634481392,0.005079983485423623,0.004722256880179862,0.004124354027366159,0.5714285714285714,0.00485199341386801,0.0003844880841799269,0.3609018259779626,0.5238095238095238,0.004708486069090955,0.0004020293035712616,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
23,attn,False,0.005091683710683813,-1.415638981535867,0.004997519511968197,0.004404333747477659,0.7145411124759684,0.2857142857142857,0.004855083743675514,0.0003311215588259885,0.6388386485398359,0.3333333333333333,0.004932926665736125,0.0002485088297499712,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
23,resid,False,0.004676645956691232,-0.8451301755324473,0.004742016879379559,0.005595237384933211,-0.23570903429908355,0.5714285714285714,0.004745044258689003,0.00029018107940225173,-0.4160214269682215,0.6190476190476191,0.004837208402265902,0.00038594753819479205,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8666666666666667,False
24,mlp,False,0.004435556307135017,-0.9900930322695206,0.00428879182009755,0.00381131951750113,0.07250792640759837,0.5238095238095238,0.004407444428863753,0.000387707657135796,0.30406046340257464,0.38095238095238093,0.004334077022570325,0.0003337470561910373,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
24,attn,False,0.0043336557948854704,-0.07645747621372878,0.00450942698342375,0.004013643531586653,-0.26948962453062647,0.6190476190476191,0.004419579478499762,0.00031883855923561506,0.16689931932469765,0.5714285714285714,0.0042886839806984475,0.0002694547489407766,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
24,resid,False,0.004697517645521827,-1.1152108142109292,0.0050202204354884376,0.0052593875434984545,0.2729770179550621,0.38095238095238093,0.004616347728805915,0.0002973507342265515,0.5256394112241348,0.3333333333333333,0.004550239118589696,0.0002801892776440433,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
25,mlp,False,0.004017160641000879,-0.8052605781139893,0.004349373948142888,0.003471945336571151,-0.52443881317547,0.7619047619047619,0.004149392133281923,0.00025213902739269837,0.10278105690662513,0.5714285714285714,0.003988315217843396,0.0002806492171382141,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
25,attn,False,0.003671198823129218,-1.057277058339262,0.00409573575066828,0.003818008345839065,-0.9458148620447111,0.8571428571428571,0.003988457492085677,0.00033543421835283144,-2.0872903983837494,1.0,0.004035652524086056,0.0001746061311061675,Qwen/Qwen2.5-1.5B-Instruct,0.9876543209876543,False,1.0,False
25,resid,False,0.00393385799467654,-0.9687795425277276,0.003972078172669764,0.004081602485467558,-1.4330189738749954,0.9047619047619048,0.0042309690179131755,0.0002073322326174261,-0.9057255621646425,0.8095238095238095,0.00422660244685752,0.00032321540255674636,Qwen/Qwen2.5-1.5B-Instruct,0.9876543209876543,False,0.9714285714285714,False
26,mlp,False,0.0033176867533349147,-0.5000504048676986,0.0035031317968049983,0.004170870413446517,-0.5755460107773371,0.6666666666666666,0.003481314223075076,0.000284299546302414,-0.2880775433985266,0.5238095238095238,0.0034093718362871,0.0003182652902081579,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
26,attn,False,0.003236255579167306,-1.4488570677154402,0.003827022423517785,0.003802913529485307,-1.2612855468903332,0.8571428571428571,0.003571751737305777,0.00026599540363054814,-0.5547914574527587,0.6666666666666666,0.00342492799674154,0.00034007808707166255,Qwen/Qwen2.5-1.5B-Instruct,0.9876543209876543,False,0.875,False
26,resid,False,0.0037495948775417213,-1.3199776617844585,0.004143485898567534,0.0037156488557821494,-0.04094827672151543,0.47619047619047616,0.0037574564715403143,0.0001919883967781796,0.2123888953862862,0.5238095238095238,0.0036658410367547837,0.00039434190113663356,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
27,mlp,True,0.0011153096259147173,-0.30573329412739625,0.0011749168890665726,0.0014640394710897806,0.483790948061431,0.38095238095238093,0.0008699766793333006,0.0005071052849675572,0.537278952853125,0.3333333333333333,0.0008358018325883629,0.0005202284434223184,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
